Timestamp,age,gender,English Sci-Fi movies:,English Thriller Movies:,English Romantic Comedy Movies:,English Action Movies:,English Horror Movies:,English Animated Movies:,Telugu Movies:,Hindi Movies
09-05-2020 14:50,16-20,Female,Inception,Interstellar,Titanic,The Shawshank Redemption,The Exorcist-1973,Finding Nemo,Baahubali,Zindagi Na Milegi Dobara
09-05-2020 14:52,16-20,Female,Avengers: Endgame,Joker,"Crazy, Stupid Love",Fight Club,Diabolique,Frozen,Jersey,3 idiots
09-05-2020 15:07,16-20,Female,Avengers- Infinity War,Parasite,Titanic,Inception,The Exorcist-1973,The Lion King,Bommarillu,3 idiots
09-05-2020 15:12,16-20,Female,The Matrix,Inception,Before Sunset,The Shawshank Redemption,The Shining,Spider-Man: Into the Spider-Verse,Maya Bazar,Gangs of Wasseypur
09-05-2020 15:16,16-20,Female,Interstellar,Inception,"Crazy, Stupid Love",The Dark Knight,Psycho,Spider-Man: Into the Spider-Verse,Mahanati,3 idiots
09-05-2020 15:22,16-20,Female,Avengers: Endgame,Joker,Titanic,Forrest Gump-1994,Nun,The Lion King,Khushi,3 idiots
09-05-2020 16:25,16-20,Male,Interstellar,Joker,The Notebook,The Dark Knight,Psycho,Spirited Away,Jersey,3 idiots
09-05-2020 20:54,16-20,Male,Avengers: Endgame,Jurassic Park,Titanic,The Godfather,Whatever Happened To Baby Jane,The Lion King,Baahubali,3 idiots
09-05-2020 20:54,16-20,Male,Black Panther,Interstellar,Titanic,Inception,Psycho,Wall-E,Arjun Reddy,3 idiots
09-05-2020 20:54,16-20,Male,Avengers: Endgame,The Dark Knight,The Notebook,The Dark Knight,The Exorcist-1973,Despicable !! Why it isn’t here ? ,Arjun Reddy,3 idiots
09-05-2020 20:54,16-20,Male,Jurassic Park-1993,Jurassic Park,Before Sunset,The Lord of the Rings: Return of the King,The Shining,Toy Story,Arjun Reddy,3 idiots
09-05-2020 20:56,16-20,Female,Avengers- Infinity War,Parasite,The Notebook,The Dark Knight,Whatever Happened To Baby Jane,Finding Nemo,C/O Kancharapalem,Kal Ho Na Ho
09-05-2020 20:56,16-20,Male,The Matrix,The Silence of the Lambs,The Princess Bride,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Maya Bazar,Sholay
09-05-2020 20:57,16-20,Male,Avengers: Endgame,Jurassic Park,Titanic,The Dark Knight,Psycho,The Lion King,Jersey,Taare Zameen Par
09-05-2020 20:57,16-20,Female,Avengers: Endgame,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Jersey,Taare Zameen Par
09-05-2020 20:58,16-20,Female,Avengers: Endgame,Joker,Titanic,12 Angry Men,Alien,Cars,Jersey,Kal Ho Na Ho
09-05-2020 20:58,16-20,Male,Interstellar,Joker,Titanic,The Godfather,The Exorcist-1973,Spider-Man: Into the Spider-Verse,,3 idiots
09-05-2020 20:59,16-20,Female,Black Panther,Joker,The Perks of Being a Wallflower,The Lord of the Rings: Return of the King,Evil dead,The Lion King,Khushi,My Name Is Khan
09-05-2020 20:59,16-20,Male,Avengers- Infinity War,Joker,Titanic,The Lord of the Rings: Return of the King,Annabelle ,The Lion King,Baahubali,Gangs of Wasseypur
09-05-2020 21:01,16-20,Female,Black Panther,Parasite,500 Days of Summer,Pulp Fiction,The Cabinet of Dr. Caligari,The Lion King,Arjun Reddy,3 idiots
09-05-2020 21:02,46-50,Female,Black Panther,Bond movies,Titanic,The Shawshank Redemption,Whatever Happened To Baby Jane,The Lion King,Baahubali,Zindagi Na Milegi Dobara
09-05-2020 21:02,16-20,Male,Interstellar,Parasite,500 Days of Summer,The Dark Knight,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Mahanati,Taare Zameen Par
